Subfamily,Genus,Species,Long,Lat
Hydrophiinae,Aipysurus,Aip_eyd,140.833,-17.483
Hydrophiinae,Aipysurus,Aip_eyd,140.85166,-17.18833
Hydrophiinae,Aipysurus,Aip_eyd,141.13333,-16.51667
Hydrophiinae,Aipysurus,Aip_eyd,141.22,-16.37
Hydrophiinae,Aipysurus,Aip_eyd,141.225,-16.51667
Hydrophiinae,Aipysurus,Aip_eyd,141.25,-16.4667
Hydrophiinae,Aipysurus,Aip_eyd,141.25833,-14.97833
Hydrophiinae,Aipysurus,Aip_eyd,141.33333,-15.46666
Hydrophiinae,Aipysurus,Aip_eyd,141.83333,-10.34667
Hydrophiinae,Aipysurus,Aip_eyd,141.83667,-10.33417
Hydrophiinae,Aipysurus,Aip_eyd,142.16666,-10.58333
Hydrophiinae,Aipysurus,Aip_eyd,143.0617145,-8.446115213
Hydrophiinae,Aipysurus,Aip_eyd,143.47342,-11.69335
Hydrophiinae,Aipysurus,Aip_eyd,143.48065,-11.62477
Hydrophiinae,Aipysurus,Aip_eyd,143.51862,-11.65461
Hydrophiinae,Aipysurus,Aip_eyd,143.9413813,-9.081976388
Hydrophiinae,Aipysurus,Aip_eyd,146.265,-18.205
Hydrophiinae,Aipysurus,Aip_eyd,147.165,-18.835
Hydrophiinae,Aipysurus,Aip_eyd,147.185,-19.125
Hydrophiinae,Aipysurus,Aip_eyd,148.25,-20.05
Hydrophiinae,Aipysurus,Aip_eyd,149.545,-22.005
Hydrophiinae,Aipysurus,Aip_eyd,150.383,-22.366
Hydrophiinae,Aipysurus,Aip_fol,123.083,-12.2
Hydrophiinae,Aipysurus,Aip_fol,123.38333,-12
Hydrophiinae,Aipysurus,Aip_fol,123.0333,-12.2833
Hydrophiinae,Aipysurus,Aip_fol,122.9,-12.25
Hydrophiinae,Aipysurus,Aip_fol,115.3,-20.9
Hydrophiinae,Aipysurus,Aip_fol,118.1,-19.6
Hydrophiinae,Aipysurus,Aip_fol,136.2,-14.2
Hydrophiinae,Aipysurus,Aip_fol,123.3,-12
Hydrophiinae,Aipysurus,Aip_fus,123.03333,-12.28333
Hydrophiinae,Aipysurus,Aip_fus,121.84167,-13.66667
Hydrophiinae,Aipysurus,Aip_fus,142.216,-10.583
Hydrophiinae,Aipysurus,Aip_fus,122.973611,-12.213889
Hydrophiinae,Aipysurus,Aip_fus,122.2,-16.9
Hydrophiinae,Aipysurus,Aip_fus,123.55,-12.5333
Hydrophiinae,Aipysurus,Aip_fus,146.18333,-17.08333
Hydrophiinae,Aipysurus,Aip_fus,121.833,-14
Hydrophiinae,Aipysurus,Aip_fus,123.333,-11.983
Hydrophiinae,Aipysurus,Aip_fus,123.083,-12.2
Hydrophiinae,Aipysurus,Aip_fus,123,-12.25
Hydrophiinae,Aipysurus,Aip_fus,151.26667,-23.85
Hydrophiinae,Aipysurus,Aip_fus,121.8417,-13.6666
Hydrophiinae,Aipysurus,Aip_fus,122.9,-12.25
Hydrophiinae,Aipysurus,Aip_lae,114.235153,-21.886987
Hydrophiinae,Aipysurus,Aip_lae,114.4167,-21.7167
Hydrophiinae,Aipysurus,Aip_lae,114.7667,-21.7333
Hydrophiinae,Aipysurus,Aip_lae,114.978576,-21.422849
Hydrophiinae,Aipysurus,Aip_lae,115.48,-20.99
Hydrophiinae,Aipysurus,Aip_lae,116.13,-20.18
Hydrophiinae,Aipysurus,Aip_lae,116.166667,-20.116667
Hydrophiinae,Aipysurus,Aip_lae,116.6667,-20.5
Hydrophiinae,Aipysurus,Aip_lae,116.96667,-20.43333
Hydrophiinae,Aipysurus,Aip_lae,117.883,-19.65
Hydrophiinae,Aipysurus,Aip_lae,119.76667,-19.96667
Hydrophiinae,Aipysurus,Aip_lae,121.183333,-17.983333
Hydrophiinae,Aipysurus,Aip_lae,121.233333,-18.05
Hydrophiinae,Aipysurus,Aip_lae,121.74,-14.08
Hydrophiinae,Aipysurus,Aip_lae,121.7877,-14.0747
Hydrophiinae,Aipysurus,Aip_lae,121.9653,-14.0626
Hydrophiinae,Aipysurus,Aip_lae,123.33,-11.98
Hydrophiinae,Aipysurus,Aip_lae,123.383,-12
Hydrophiinae,Aipysurus,Aip_lae,123.55,-12.533333
Hydrophiinae,Aipysurus,Aip_lae,124.0382,-12.5583
Hydrophiinae,Aipysurus,Aip_lae,129.1718,-9.5282
Hydrophiinae,Aipysurus,Aip_lae,129.557,-10.145
Hydrophiinae,Aipysurus,Aip_lae,132.25,-11
Hydrophiinae,Aipysurus,Aip_lae,135.73,-14.28
Hydrophiinae,Aipysurus,Aip_lae,136.4,-14.9067
Hydrophiinae,Aipysurus,Aip_lae,136.4833,-14.9
Hydrophiinae,Aipysurus,Aip_lae,136.5,-14.9
Hydrophiinae,Aipysurus,Aip_lae,136.5667,-14.5333
Hydrophiinae,Aipysurus,Aip_lae,136.5295,-14.9167
Hydrophiinae,Aipysurus,Aip_lae,136.55,-15.0333
Hydrophiinae,Aipysurus,Aip_lae,136.5942,-14.9333
Hydrophiinae,Aipysurus,Aip_lae,136.6167,-14.5167
Hydrophiinae,Aipysurus,Aip_lae,136.65,-14.85
Hydrophiinae,Aipysurus,Aip_lae,136.65,-15
Hydrophiinae,Aipysurus,Aip_lae,136.6511626,-12.8485652
Hydrophiinae,Aipysurus,Aip_lae,136.65116,-12.94856
Hydrophiinae,Aipysurus,Aip_lae,136.6667,-15.4667
Hydrophiinae,Aipysurus,Aip_lae,136.7511611,-12.74856523
Hydrophiinae,Aipysurus,Aip_lae,136.783,-15.55
Hydrophiinae,Aipysurus,Aip_lae,136.7833,-12.7667
Hydrophiinae,Aipysurus,Aip_lae,136.851168,-14.448557
Hydrophiinae,Aipysurus,Aip_lae,136.86796,-15.625908
Hydrophiinae,Aipysurus,Aip_lae,136.9667,-15.65
Hydrophiinae,Aipysurus,Aip_lae,136.992,-14.0133
Hydrophiinae,Aipysurus,Aip_lae,136.98333,-13.95
