Family,Genus,Species,Temp,Limit,Base,Temperature
Hydrophinnae,Aipysurus,Aip_fol,27.76654243,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_fol,13.15812969,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_fol,28.39407539,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_fol,25.92513657,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_fol,28.49616051,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_fol,26.07338715,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fol,28.64673042,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fol,25.7,Lower,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fol,28.31,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fol,22.81,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_fol,26.35,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_fol,7.548973,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_fol,23.2154,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_fol,9.234856,Lower,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_fol,25.563492,Upper,B_Bme,Min
Hydrophinnae,Aipysurus,Aip_fol,13.236958,Lower,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_fol,25.654011,Upper,B_Bmi,Min
Hydrophinnae,Aipysurus,Aip_fol,20.989731,Lower,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_fol,25.886652,Upper,B_Surf,Min
Hydrophinnae,Aipysurus,Aip_fus,5.105131,Lower,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_fus,31.030411,Upper,B_Bma,Max
Hydrophinnae,Aipysurus,Aip_fus,8.865482,Lower,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_fus,31.184615,Upper,B_Bme,Max
Hydrophinnae,Aipysurus,Aip_fus,20.502041,Lower,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_fus,31.228686,Upper,B_Bmi,Max
Hydrophinnae,Aipysurus,Aip_fus,27.760689,Lower,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_fus,31.066277,Upper,B_Surf,Max
Hydrophinnae,Aipysurus,Aip_fus,28.07,Lower,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_fus,30.4,Upper,M_Surf,Max
Hydrophinnae,Aipysurus,Aip_fus,4.449258804,Lower,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_fus,27.87716484,Upper,B_Bma,Mean
Hydrophinnae,Aipysurus,Aip_fus,7.869472027,Lower,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_fus,28.39407539,Upper,B_Bme,Mean
Hydrophinnae,Aipysurus,Aip_fus,23.86229515,Lower,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_fus,28.52013016,Upper,B_Bmi,Mean
Hydrophinnae,Aipysurus,Aip_fus,23.50878334,Lower,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fus,28.70363045,Upper,B_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fus,23.77,Lower,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fus,28.44,Upper,M_Surf,Mean
Hydrophinnae,Aipysurus,Aip_fus,18.86,Lower,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_fus,26.34,Upper,M_Surf,Min
Hydrophinnae,Aipysurus,Aip_fus,4.557484,Lower,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_fus,24.975813,Upper,B_Bma,Min
Hydrophinnae,Aipysurus,Aip_fus,8.163533,Lower,B_Bme,Min
